21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Jordan;Asia;Western Asia;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;9;80;8,84;---;---;---;63;1.261;20,02;---;---;---;23;349;15,52;---;---;---
Laos;Asia;South-Eastern Asia;---;---;---;90;450;5;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Latvia;Europe;Northern Europe;3.125;16.886;5,4;11.307;53.466;4,73;21.798;93.539;4,29;1.454;8.095;5,57;284;7.523;26,47;2.495;23.451;9,4;5;93;20,6;2.769;52.227;18,86;4.438;29.147;6,57;92;600;6,5;95;1.155;12,22
Lebanon;Asia;Western Asia;108;708;6,56;1.350;5.850;4,33;---;---;---;---;---;---;36;885;24,58;36;291;8,07;---;---;---;63;999;15,86;95;521;5,51;---;---;---;---;---;---
Liechtenstein;Europe;Western Europe;428;1.935;4,53;---;---;---;819;5.676;6,93;149;767;5,17;224;5.609;25,1;89;2.570;29,04;---;---;---;332;4.634;13,98;---;---;---;---;---;---;---;---;---
Lithuania;Europe;Northern Europe;1.355;5.801;4,28;10.269;42.636;4,15;31.257;119.339;3,82;473;1.768;3,74;332;9.916;29,91;2.750;21.689;7,89;27;1.915;70,92;1.577;27.125;17,2;976;6.398;6,56;1.912;14.057;7,35;122;1.532;12,61
Luxembourg;Europe;Western Europe;32.263;140.074;4,34;110.763;446.939;4,04;34.123;153.835;4,51;215;1.316;6,13;797;25.863;32,44;1.735;16.541;9,54;237;4.438;18,73;13.383;221.530;16,55;2.568;18.144;7,07;8.089;69.517;8,59;---;---;---
Mexico;North America;Central America;5.751;27.350;4,76;88.079;445.294;5,06;6.435;28.804;4,48;563;3.669;6,52;747;16.798;22,49;225;1.769;7,86;149;6.690;45,05;10.186;237.617;23,33;3.105;20.225;6,51;180;3.470;19,28;---;---;---
Macao;Asia;Eastern Asia;1.819;9.026;4,96;4.132;19.523;4,73;4.408;21.389;4,85;405;3.670;9,06;854;24.648;28,88;1.866;16.168;8,67;1.218;38.550;31,65;2.305;102.057;44,27;886;8.799;9,93;810;6.110;7,54;---;---;---
Malaysia;Asia;South-Eastern Asia;185;1.453;7,86;2.718;16.812;6,19;3.557;21.411;6,02;90;428;4,76;---;---;---;756;7.750;10,25;---;---;---;1.083;21.053;19,43;59;982;16,7;45;720;16;---;---;---
Malta;Europe;Southern Europe;324;1.648;5,09;2.300;11.407;4,96;10.688;54.618;5,11;45;255;5,67;149;3.784;25,48;698;6.620;9,49;250;6.541;26,19;1.371;30.648;22,35;420;3.149;7,5;225;1.888;8,39;14;135;10
Morocco;Africa;Northern Africa;1.431;6.097;4,26;468;1.924;4,11;3.474;15.054;4,33;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Mozambique;Africa;Eastern Africa;180;1.010;5,61;14.333;71.008;4,95;788;3.941;5;---;---;---;9;249;27,67;27;720;26,67;---;---;---;92;2.217;24,23;---;---;---;788;6.427;8,16;---;---;---
